RA_ICRS|DE_ICRS|SDSS12|SDSS-ID|objID|Sp-ID|SpObjID|umag|e_umag|gmag|e_gmag|rmag|e_rmag|imag|e_imag|zmag|e_zmag|zsp|e_zsp
017.951078|-00.496883|J011148.25-002948.7|4858-301-2-0474-0237|1237666338652684525|4227-55481-0382|4759284001540861952|22.349| 0.375|20.012| 0.022|18.740| 0.012|18.240| 0.011|17.901| 0.026| 0.18011| 0.00003






038.612195|+00.866012|J023426.92+005157.6|7717-301-1-0587-0305|1237678617434718513|3745-55234-0680|4216682155915014144|21.887| 0.175|21.552| 0.056|20.951| 0.048|20.715| 0.060|20.571| 0.177| 0.16047| 0.00002

003.185078|-00.034232|J001244.41-000203.2|2728-301-3-0434-0631|1237657190906593911|4218-55479-0316|4749132760403865600|23.446| 0.658|22.437| 0.132|21.887| 0.127|21.542| 0.138|20.427| 0.190| 0.28800| 0.00003





037.818102|-01.130754|J023116.34-010750.7|4263-301-1-0368-0316|1237663782603325756|3744-55209-0294|4215450152716660736|21.390| 0.126|20.352| 0.029|19.512| 0.020|19.175| 0.022|18.984| 0.059| 0.28914| 0.00002



027.702908|+00.429829|J015048.69+002547.3|4263-301-5-0301-0464|1237663784746418640|4232-55447-0886|4765052038969749504|23.051| 0.443|21.653| 0.076|20.880| 0.056|20.463| 0.058|20.022| 0.123| 0.25040| 0.00004




027.564740|-00.886701|J015015.53-005312.1|2700-301-1-0050-0077|1237657069548601421|1504-52940-0220|1693413982355875840|20.049| 0.074|19.044| 0.016|18.427| 0.014|17.965| 0.013|17.782| 0.039| 0.15763| 0.00001


014.879392|-00.256720|J005931.05-001524.1|4263-301-3-0215-0224|1237663783667040480|3735-55209-0480|4205368180845768704|22.899| 0.455|20.246| 0.026|19.115| 0.015|18.617| 0.014|18.257| 0.035| 0.22073| 0.00003




